,SP500,SP500_Prediction
2023-07-09,0.023245094810475875,0.010877185989873276
2023-07-16,0.004868018840586075,0.00380813893293429
2023-07-23,0.0040829682185796745,0.003906924267962947
2023-07-30,0.002779439170851994,0.004089789381075838
2023-08-06,0.0005449382193436492,0.0036583818478015226
2023-08-13,-0.0005458524753251259,0.0050187287256741086
2023-08-20,0.0013205609663917706,0.0038437982323842627
2023-08-27,9.60711616571075e-05,0.003673825363426484
2023-09-03,0.003720187376065054,0.003552297965341457
2023-09-10,-0.0005098764230282438,0.00294891757003419
2023-09-17,0.0014797668079578052,0.0043381958312720004
2023-09-24,0.0023984024627878853,0.0042119385290219505
2023-10-01,0.0003411936136730187,0.004311857549002748
2023-10-08,0.004488475287441007,0.004170259295474171
2023-10-15,0.003905132081262863,0.004062419093235162
2023-10-22,-0.0031220158711033896,0.0039001095655461066
2023-10-29,0.003483405641298676,0.0035569977986088107
2023-11-05,0.0017774155174403727,0.004121849654494645
2023-11-12,0.005293462948270156,0.004732860349386913
2023-11-19,0.0031640466456730465,0.003984582645272565
2023-11-26,0.0030488280996689987,0.0031212831342574696
2023-12-03,0.0027634272304633,0.005372884122802554
2023-12-10,0.0005805451227509639,0.0036875255781507834
2023-12-17,0.0024679951680794954,0.005076433617660023
2023-12-24,-0.0004183469405026896,0.00400187719024398
2023-12-31,0.0047295061913306125,0.0042220225673012535
2024-01-07,0.0016293802374773847,0.0034193575251701327
2024-01-14,0.0007976504463853562,0.003654124192595626
2024-01-21,-0.00010245954691623371,0.0040947303354675795
2024-01-28,-0.0002577496089392062,0.004089057692829966
2024-02-04,0.0001779525779783686,0.003710651348542704
2024-02-11,0.0019388593221640882,0.00331346554872808
2024-02-18,0.0035351377416630303,0.004901257566137302
2024-02-25,0.001265318362406509,0.0028402491522479183
2024-03-03,0.0006745202252060878,0.003667931496194654
2024-03-10,0.0026064728939134696,0.005053637593185271
2024-03-17,0.0010962922612924864,0.00520257345536262
2024-03-24,0.0022934124652151944,0.003467210720350914
2024-03-31,-2.3562357422735047e-05,0.003663125061499757
2024-04-07,0.0026962165774744307,0.0033783991885301705
2024-04-14,0.0007005372707264979,0.003525113196868363
2024-04-21,-9.305616986088339e-06,0.003316497307686137
2024-04-28,0.0008110275695731861,0.00473688955483493
2024-05-05,0.004872542828059823,0.004540574540543798
2024-05-12,-0.0027442654685134737,0.004118960924127069
2024-05-19,0.005222955957986386,0.003119773573804503
2024-05-26,0.004545294860005766,0.003114304421618238
2024-06-02,0.0010990220329076816,0.0041335577463989135
2024-06-09,0.0031001465387077154,0.003622855807448442
2024-06-16,0.000876589435476971,0.0031815881611394806
2024-06-23,0.0006122841966231807,0.004985464684191718
2024-06-30,0.0019696627750771523,0.004371177945025582
2024-07-07,0.0003575961695976293,0.003976490263490219
2024-07-14,0.0033231099765689276,0.004073284423823692
2024-07-21,0.0031238310744172715,0.00326317964384226
2024-07-28,0.003342776799752256,0.0031122292708163106
2024-08-04,-0.0002538551724616811,0.003007557915046576
2024-08-11,0.0018343269163230147,0.003703200107813709
2024-08-18,0.004403496481086178,0.004116335570018135
2024-08-25,0.0016274483970086795,0.0045917017650922735
2024-09-01,0.005214555846436708,0.003631369068879013
2024-09-08,0.0038716329893802026,0.004101097876325776
2024-09-15,-0.002728116010335291,0.003902932641159054
2024-09-22,-0.00034812190261879206,0.004130730122275125
2024-09-29,0.003062729752658866,0.003980009034616703
2024-10-06,0.0035537191719543504,0.0035207611886778423
2024-10-13,-0.0017538286349574328,0.004168366002914387
2024-10-20,-0.0002106954250431503,0.004446676756995749
2024-10-27,0.000621140303848966,0.003962932296449237
2024-11-03,0.0005029006923358281,0.0037735421164245375
2024-11-10,-0.00138854808182709,0.003939278701025294
2024-11-17,0.002335341979731842,0.0033631650102588753
2024-11-24,0.00676767441908499,0.004297050519347036
2024-12-01,0.0037856722697831025,0.003997786732474602
2024-12-08,0.0023112169623480394,0.002971256823387883
2024-12-15,0.003792372350364337,0.00395361132395547
2024-12-22,0.0012111849526894591,0.004641884351765791
2024-12-29,0.0018001618608469716,0.00328330688326575
2025-01-05,0.0015013846753972881,0.00431052259500783
2025-01-12,0.0016481492038660228,0.0044189609974034805
2025-01-19,0.004971131252755834,0.004021644782819135
2025-01-26,0.0016052395351067172,0.0035264860792526046
2025-02-02,-0.00022005271877789667,0.003547218112697115
2025-02-09,0.0014263286332043545,0.0039915217128954576
2025-02-16,0.0028037294828522352,0.003528607294369287
2025-02-23,-7.318865647376604e-05,0.004393824493141783
2025-03-02,0.0030161040624521185,0.003134083510050099
2025-03-09,0.0009462875110295421,0.0039613238596296375
2025-03-16,0.006024049034843548,0.0033069232368939322
2025-03-23,0.00242229957495943,0.003928635764029828
2025-03-30,0.003092005401178932,0.003804713278924859
2025-04-06,0.0008490537872725135,0.003490248452237381
2025-04-13,0.0011642579120472174,0.0038863292637904773
2025-04-20,0.003991766867873281,0.0037033219740227516
2025-04-27,0.0040477358456063595,0.0041692485382114714
2025-05-04,0.0022915658587441268,0.004477636354941587
2025-05-11,0.0005497454003626778,0.004389519034608545
2025-05-18,0.0020770926717623706,0.005122951902056644
2025-05-25,0.0033329109203950047,0.003780398666498255
2025-06-01,-0.0009833002935046853,0.004947590828142903
2025-06-08,0.0020716894742411895,0.0039026017797720875
2025-06-15,0.004092230434806998,0.0035715450230986517
2025-06-22,-0.0022606449953794794,0.004953600723267851
2025-06-29,0.002448194705912732,0.003573331355577718
