Date,Dow_Jones,FTNT,Gold,RealEstate,SP500,Materials,Energy,Financials,Industrials,Staples,Utilities,Healthcare,Discretionary,15-Year Mortgage Rate,US Dollar Index,HighDividend (t-1),HighDividend (t-3),HighDividend (t-4),HighDividend (t-5),HighDividend (t-6),HighDividend (t-7),HighDividend (t-8),HighDividend (t-9),HighDividend (t-10),HighDividend (t-11),HighDividend (t-12),HighDividend (t-13),HighDividend (t-14),HighDividend (t-15),HighDividend (t-16),HighDividend (t-18),HighDividend (t-19),HighDividend (t-20),HighDividend (t-21),HighDividend (t-22),HighDividend (t-23),FTNT (t-6),FTNT (t-16),RealEstate (t-3),RealEstate (t-5),RealEstate (t-22),SP500 (t-13),Materials (t-4),Financials (t-6),Financials (t-8),Financials (t-10),Industrials (t-3),Industrials (t-12),Staples (t-18),Utilities (t-21),Discretionary (t-9),30-Year Mortgage Rate (t-16),10-Year India Gov Bond Yield (t-4),PPI (t-9),PPI (t-14),PPI (t-23),Government Debt (t-7),Government Debt (t-14),Debt Service vs Disposable Income (t-4),US Dollar Index (t-19),Housing Starts (t-14),2y20y (t-24),10yTrea30yFRM (t-2),HighDividend
2004-03-14,-0.03484007568623004,0.0,0.0,-0.015575160320465686,-0.032651968331784964,-0.002765401068116069,-0.02758397015628744,-0.029218022356126694,-0.03995524612316759,-0.022048969983995748,-0.024776500423314807,-0.043629678167923625,-0.035087630948087645,-0.038934426229508046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001917351934581646,0.017326373864972933,0.010774739645933451,0.01207314915385349,0.019683072033594096,-0.002061781133148588,0.0187085113751968,0.011887569130772935,-0.00698981933192977,0.020717631200923847,0.007532220822279889,-0.005459929580532874,0.009609391670885481,-0.03316749585406309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-03-21,-0.004325363380920155,0.0,0.0,0.02010228475502074,-0.010043370399303142,0.0021441606412619385,0.004935053491675889,-0.004648966739827176,-0.0003910430558985434,0.0014070938351602447,0.011946241207548391,-0.019708439420439983,-0.005366776602393264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006700563255116698,-0.006185097985866306,-0.005594010201793398,0.011786170583752309,0.004163439151491977,0.015146148366564915,0.00866311786775964,0.008543659567016082,-0.005928410134425577,0.0026432260425730547,-0.011681201938114394,0.0018296777227657657,0.006979639831153461,0.010291595197255532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035502958579881616,0.006535947712418166,0.0
2004-03-28,0.0025494159260124327,0.0,0.0,-0.009018036957277986,-0.00026964385893335496,0.007053722350639946,-0.03005477663057632,-0.01126254257909498,0.005415727281462113,-0.004430933250234692,-0.004979118660520143,-0.005070886276562825,0.003853905732067009,0.002132196162046851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03784382500954808,0.0001917351934581646,-0.026214724327603744,0.007345815003795719,0.011684800486767344,0.010512130985813162,-0.002061781133148588,0.0187085113751968,0.007454344356931042,0.007156095756863268,-0.0023647428417237215,0.0068495645489285995,0.009766642045979212,0.022071307300509213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02285714285714291,-0.008434112167821306,0.0
2004-04-04,0.027006506116009632,0.0,0.0,0.005607393446331377,0.03251315378996633,0.041245190004885135,0.02570377504818877,0.021746381383519697,0.03347433181619275,0.015576457308659863,0.012093661629318353,0.03635733300448685,0.029430369328186545,0.015959715102299987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015575160320465686,0.006700563255116698,0.013623563294354435,0.013947350578196405,0.007332831022014985,-0.0010063436792774327,0.015146148366564915,0.00866311786775964,-0.03995524612316759,0.005983943229571187,0.018483378575906206,-0.010884505746427742,-0.023088676521941798,-0.023255813953488302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04469273743016766,-0.005710800620980172,0.0
2004-04-11,-0.002572115338327574,0.0,0.0,-0.007296356373551693,-0.0023548704797111686,-0.015695327685606553,0.014075250246047055,-0.002365054575637293,0.0033510162134693378,0.0004387164767833962,-0.007828888072801576,-0.0032786477557595894,-0.005593386670013412,0.02563580452127656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02010228475502074,0.03784382500954808,0.027204269650031865,0.010429055118204467,0.00010773024457327862,0.0036948241656726832,0.010512130985813162,-0.002061781133148588,-0.0003910430558985434,0.03345688887188403,-0.009305967676726423,0.0009174162973286659,0.00862319360555075,-0.010204081632652962,0.0,0.0,0.0,0.0,0.0,0.01902038935896222,0.0,0.0,0.0,-0.011695906432748648,0.0185185185185186,0.0
2004-04-18,0.000281291141100537,0.0,0.0,-0.03029956670057432,-0.004721244876491726,0.007213279534276307,0.03385229463335038,-0.02235029973810676,0.005565996864041578,0.01095022049569172,-0.023670979545499016,0.03552611516176429,-0.003437936744097869,0.012654233389101321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009018036957277986,-0.015575160320465686,0.014341187236827091,0.016371350778182858,0.0021441606412619385,0.019410350556352096,-0.0010063436792774327,0.015146148366564915,0.005415727281462113,-0.01366916027355336,0.005636265034840493,-0.017865197308774117,0.004749808590207127,-0.001718213058419349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008875739644970349,-0.024242424242424843,0.0
2004-04-25,0.0024835666360136788,0.0,0.0,-0.025773596804104515,0.00465607632586984,0.00021421203457222537,-0.014407137743456588,-0.008658985527729146,0.008117587020944006,0.00823179855889089,0.0017011451555004609,-0.004129329491998068,0.011602666598960587,0.003824091778202643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005607393446331377,0.02010228475502074,-0.027863934694471237,0.0017510804792428836,0.007053722350639946,-0.029218022356126694,0.0036948241656726832,0.010512130985813162,0.03347433181619275,-0.01422299385189607,0.0037680701234179548,0.030783689523016022,0.00031539812432779257,0.0068846815834768815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017910447761193993,-0.02143798230754762,0.0
2004-05-02,-0.02449396252124536,0.0,0.0,-0.014814403901542872,-0.029731634633373694,-0.02165095766485675,-0.008638138749835766,-0.017470153547720302,-0.03367486713056822,-0.003867412403135817,-0.011464361247695898,-0.015630199393771416,-0.02696885737289134,0.01904761904761898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007296356373551693,-0.009018036957277986,0.030148999629092676,-0.00830217124828947,0.041245190004885135,-0.004648966739827176,0.019410350556352096,-0.0010063436792774327,0.0033510162134693378,0.003329578115881082,0.0037374326410137826,0.010406497145477367,0.00787661957960184,0.0034188034188034067,0.0,0.0,0.0,0.0,0.0,0.0,-0.005231466573687671,0.0,0.0,-0.00911854103343468,-0.02003576134010901,0.0
2004-05-09,-0.011724087491249646,0.0,0.0,-0.022019551522260872,-0.009011254496953391,-0.011594391508559121,-0.0026810564259426295,-0.023470919458769113,-0.006818284910752759,-0.01035365425184065,-0.023196080720972234,0.006481142794915407,-0.033449718011888674,0.02073876279483755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03029956670057432,0.005607393446331377,0.0058736442002027545,0.008547763573570899,-0.015695327685606553,-0.01126254257909498,-0.029218022356126694,0.0036948241656726832,0.005565996864041578,0.002212113214819844,0.0018628850311375178,0.005374098064799604,0.015629821244568687,-0.035775127768313486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015337423312883347,0.0009572024164045678,0.0
2004-05-16,-0.006921260674975671,0.0,0.0,0.00823745846467494,0.000727383211230892,0.013328276847463405,0.003024662558136937,0.010559986120768139,-0.0019069174363003372,-0.009590419727716126,-0.00835555181122516,-0.011590714065250474,0.0023069673226518983,0.0068443239003986855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025773596804104515,-0.007296356373551693,0.013860219858594869,0.00594153042859169,0.007213279534276307,0.021746381383519697,-0.004648966739827176,0.019410350556352096,0.008117587020944006,-0.00698981933192977,-0.004182119208902435,0.02238282100001543,-0.035087630948087645,-0.0035335689045937757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02180685358255452,0.01541095890410965,0.0
