Date,Dow_Jones,HighDividend,FTNT,RealEstate,SP500,Materials,Financials,Technology,Healthcare,Discretionary,20-Year Treasury Yield,US Dollar Index,VIX,CorporateBonds (t-6),Dow_Jones (t-1),Dow_Jones (t-2),Gold (t-13),Materials (t-5),Technology (t-1),Staples (t-22),Utilities (t-8),NASDAQ (t-8),10-Year Treasury Yield (t-24),5-Year Treasury Yield (t-19),20-Year Treasury Yield (t-4),20-Year Treasury Yield (t-24),15-Year Mortgage Rate (t-2),15-Year Mortgage Rate (t-23),Real GDP (t-11),VIX (t-8),Housing Starts (t-5),2y10y (t-5),5y10y (t-18),10yTrea30yFRM (t-18),Industrials
2004-03-14,-0.034839302877718525,0.0,0.0,-0.015574950062565485,-0.03265169462140549,-0.002764946161953663,-0.02921881634603707,-0.030769514566270084,-0.04362919553633626,-0.035087711386289966,-0.010570824524313016,0.0,0.03964194373401542,0.0,0.001225354881625229,-0.003289187822589912,0.0,0.015680212521209658,0.004345838700190896,0.0067143090640127134,0.0017176346060165937,0.025655051974585064,0.0,0.04472843450479247,-0.0060606060606061,0.0,0.004106776180698102,-0.037735849056603765,0.0,-0.010666666666666713,0.0,0.012931034482758452,0.019801980198019375,0.030864197530864113,-0.03995584302890398
2004-03-21,-0.004326174213279854,0.0,0.0,0.020102370415337356,-0.010042779733038576,0.0021442737362369346,-0.004648493097099693,-0.020336826978192057,-0.01970835041869834,-0.00536646626936188,0.0,0.0,0.03964194373401542,0.0,-0.034839302877718525,0.001225354881625229,0.0,0.01968364163081282,-0.030769514566270084,0.0028586358972044756,0.019717513229036143,-0.007750597559757155,0.04207920792079212,0.04472843450479247,0.008130081300812941,0.034136546184738936,-0.002044989775051076,0.031372549019607954,0.005729164860697633,-0.010666666666666713,0.0,-2.220446049250313e-16,-0.004662116697106533,0.03010125582168987,-0.0003905071286577355
2004-03-28,0.002550699690128111,0.0,0.0,-0.009017525644789415,-0.00027054021282435503,0.007053493634427532,-0.011263018754288368,0.012658038619008716,-0.005071152482528429,0.003853435527731097,0.007478632478632563,0.0,0.03964194373401542,0.0,-0.004326174213279854,-0.034839302877718525,0.0,0.004163326919318866,-0.020336826978192057,-0.006650367382079914,0.0008400136685564608,-0.027176904263893964,0.019002375296912177,-0.012539184952978122,-0.022177419354838745,0.01553398058252431,-0.038934426229508046,0.019011406844106515,0.0,-0.024275005011024253,0.0,0.0,-0.02912621359223244,0.029338314112515623,0.005414974308469045
2004-04-04,0.02700624832705767,0.0,0.0,0.005607722634602685,0.0325140634787755,0.04124497225799262,0.021746389260482557,0.044000312187061574,0.03635715727783895,0.029430614857812287,0.014520885999759314,0.0,0.03964194373401542,0.0,0.002550699690128111,-0.004326174213279854,0.0,0.011685018683180726,0.012658038619008716,0.015781065975909447,-0.010919646991302323,-0.0010356908642967788,0.027972027972027913,-0.012539184952978122,-0.024742268041236914,0.017208413001912115,0.0,0.005597014925373012,0.0,-0.032066671677690894,0.0,-0.00851063829787213,-0.04000000000000048,0.027812430694167133,0.03347466250159448
2004-04-11,-0.002572906473632064,0.0,0.0,-0.007296478262579509,-0.002355255340191875,-0.015695116414480514,-0.00236470090391816,-0.006226403758418653,-0.003278734955770357,-0.005593463303838697,0.02291526939414268,0.0,0.03964194373401542,0.0,0.02700624832705767,0.002550699690128111,0.0,0.00733261213047709,0.044000312187061574,0.007533625943004552,0.009342171539290511,-0.005062936285401887,-0.038548752834467126,-0.0284589415889151,-0.010570824524313016,-0.03383458646616555,0.002132196162046851,-0.024118738404452666,0.0,-0.026249999999999996,0.04552590266875978,-0.021459227467811037,0.041666666666667185,0.024760663857470153,0.003350809806557553
2004-04-18,0.00028117761181190026,0.0,0.0,-0.03029972423039201,-0.004721728054773777,0.007213502728677268,-0.02235006283780505,-0.0318071861233431,0.03552656064655846,-0.003437785105507185,0.031746031746031855,0.0,0.03964194373401542,0.0,-0.002572906473632064,0.02700624832705767,0.0,0.00010762970790989534,-0.006226403758418653,-0.011682288365427174,-0.00546948473784592,-0.007611174953176536,0.021226415094339535,-0.022189349112426038,0.0,0.011673151750972943,0.015959715102299987,0.009505703422053147,0.0,0.001637516046213039,0.0,-0.017543859649122973,0.02999999999999936,0.018657130184076193,0.005565792291473803
2004-04-25,0.002484588963724832,0.0,0.0,-0.02577352102163022,0.004656272507641557,0.00021437863400580737,-0.008659892114822654,0.0007714013978348255,-0.004129496471492966,0.011602514535836272,0.013461538461538414,0.0,0.03964194373401542,0.0,0.00028117761181190026,-0.002572906473632064,0.0,0.0021442737362369346,-0.0318071861233431,-0.002364223786194164,0.026227053631924235,-0.003979580853183395,0.027934223713451556,0.0,0.007478632478632563,0.02499999999999991,0.02563580452127656,0.015065913370998052,0.0,0.012357017764426104,0.0,0.0,-0.03883495145631033,0.006450062837288273,0.008117897210739855
2004-05-02,-0.024494735839562964,0.0,0.0,-0.014814575011284359,-0.029731059972883167,-0.021650668439649023,-0.017470043074566788,0.02208996231650695,-0.015629864669259197,-0.026968409900719248,0.007590132827324458,0.0,0.018753447324875827,0.0,0.002484588963724832,0.00028117761181190026,0.0,0.007053493634427532,0.0007714013978348255,0.018483071653212724,0.01483882569748296,0.008774206119272154,0.0090271773037226,-0.021671826625386914,0.014520885999759314,-0.04315196998123838,0.012654233389101321,-0.04081632653061218,0.0,-0.004810996563573866,0.0,0.008928571428571397,0.010101010101009944,-0.017964071856287567,-0.03367456615006037
2004-05-09,-0.011724435765954722,0.0,0.0,-0.022019302338437297,-0.009011649701778479,-0.011594707501059787,-0.02347087040192619,0.0015885188014698737,0.006480629075729549,-0.033450176375578344,0.04143126177024503,0.0,0.014335794751913489,0.0,-0.024494735839562964,0.002484588963724832,0.0,0.04124497225799262,0.02208996231650695,-0.00930596563934305,-0.02477620536757774,-0.030718452193057355,-0.016587677725118377,-0.00925363483168079,0.02291526939414268,-0.009803921568627416,0.003824091778202643,0.009671179883945724,0.0,-0.004810996563573866,0.0025025025025025016,0.013274336283185972,0.020000000000000018,-0.03658536585365835,-0.006818598483901872
2004-05-16,-0.006921380582896708,0.0,0.0,0.008237109184003222,0.0007270813924711295,0.01332717641651282,0.010560564707716713,-0.007652898111061401,-0.011590547426139741,0.0023077717005295373,0.001808318264014508,0.0,0.00991814217895115,0.0,-0.011724435765954722,-0.024494735839562964,0.0,-0.015695116414480514,0.0015885188014698737,0.005636190126115048,0.01194710721727632,-0.02230026764405091,-0.02096664992246694,0.0031645569620253333,0.031746031746031855,0.02970297029702973,0.01904761904761898,0.026819923371647514,0.0,-0.004810996563573866,0.0,0.017467248908296984,0.029607843137255174,0.012658227848101555,-0.0019067061928040863
