Date,CorporateBonds_Prediction
2020-02-16,0.0006204337194350285
2020-02-23,0.00017796102637930217
2020-03-01,0.0005191915890105511
2020-03-08,0.000321164243881268
2020-03-15,0.0003832762027626919
2020-03-22,0.0011321100497549122
2020-03-29,0.001395358474086486
2020-04-05,0.001564714859980393
2020-04-12,0.0016027374948000641
2020-04-19,0.0013620625595372681
2020-04-26,0.0009483364200134683
2020-05-03,0.0012704582906055628
2020-05-10,0.0009837505788887375
2020-05-17,0.0005101481096081985
2020-05-24,0.0009901397863297215
2020-05-31,-9.105024056547687e-05
2020-06-07,-0.0002467904255891792
2020-06-14,0.0009695157383897171
2020-06-21,0.000514830289413997
2020-06-28,0.00025659336554821453
2020-07-05,0.0009814388751031254
2020-07-12,0.0007200949666460125
2020-07-19,0.0008794600580948888
2020-07-26,5.6068450395624346e-05
2020-08-02,0.0007120729774763257
2020-08-09,-0.000529371344766608
2020-08-16,-0.00011057646134298079
2020-08-23,0.0006324950585560612
2020-08-30,0.0016434969010316513
2020-09-06,0.000806578979021357
2020-09-13,0.0010447341862202491
2020-09-20,0.000788219164002131
2020-09-27,0.0012680630910818656
2020-10-04,0.0003924033385430201
2020-10-11,-3.038213768445551e-06
2020-10-18,0.00011395847174322381
2020-10-25,0.0007916779777513451
2020-11-01,0.00041100656518230813
2020-11-08,-0.00010878594582450904
2020-11-15,-0.00032419237914221323
2020-11-22,0.0003740034199890852
2020-11-29,0.00017483976797373673
2020-12-06,0.00011891505185461242
2020-12-13,-1.193280509590184e-05
2020-12-20,0.0006168650860540462
2020-12-27,0.0009265660659357202
2021-01-03,0.0007016891354628444
2021-01-10,0.0006589930651487902
2021-01-17,0.0009341238353457197
2021-01-24,0.0007132767049946343
2021-01-31,0.001709920884354872
2021-02-07,0.0002640686046885254
2021-02-14,0.00037610361558720933
2021-02-21,0.0005669855915126561
2021-02-28,0.00038107858604572326
2021-03-07,-0.0001684997082290699
2021-03-14,-0.0004544631515474103
2021-03-21,0.000348875789817226
2021-03-28,9.121885573357156e-05
2021-04-04,0.00017584877127853015
2021-04-11,0.0011743601937095499
2021-04-18,0.0015522820626411133
2021-04-25,0.0011826678323858322
2021-05-02,0.0011208479821805007
2021-05-09,0.0005370550344648525
2021-05-16,-0.00071253510511619
2021-05-23,-0.0002561324416536055
2021-05-30,0.0005349514018434989
2021-06-06,0.0004462608974068385
2021-06-13,0.0006119384652012324
2021-06-20,0.0007648967705928374
2021-06-27,0.0010824512625728256
2021-07-04,0.0011011219678163282
2021-07-11,0.0006640028353728829
2021-07-18,0.000830584997981651
2021-07-25,0.0012004020111325226
2021-08-01,6.52722451347682e-05
2021-08-08,-1.7616802032434263e-05
2021-08-15,0.0003827417308686553
2021-08-22,0.0004938284476932238
2021-08-29,0.0001300286574442011
2021-09-05,0.0007952647577171442
2021-09-12,0.0006357654563830408
2021-09-19,-0.00010990518133109924
2021-09-26,8.949270708684748e-05
2021-10-03,0.00028330261451486714
2021-10-10,-0.00023533772451140827
2021-10-17,-8.124033764014573e-06
2021-10-24,0.0007883037877584527
2021-10-31,0.000326893616682457
2021-11-07,0.00015876504802047413
2021-11-14,0.0008154640164158652
2021-11-21,0.0012004147797383556
2021-11-28,0.0011009238806536105
2021-12-05,0.0009438345182358733
2021-12-12,0.0004604757677096564
2021-12-19,0.0012665045871578285
2021-12-26,0.0012485780322425463
2022-01-02,0.0005415939948692322
2022-01-09,0.0004793856403159461
2022-01-16,0.0005420927355440406
2022-01-23,0.000595155286990225
2022-01-30,0.0009044901577483957
2022-02-06,0.0016161362778660331
2022-02-13,0.0009554644322320322
2022-02-20,0.0009080199749369991
2022-02-27,-5.582093838521898e-05
2022-03-06,0.00033854059160686253
2022-03-13,-0.0001865051449306531
2022-03-20,0.000568920086783224
2022-03-27,0.0009936713429040843
2022-04-03,0.0008465286190900621
2022-04-10,0.0005104582218093314
2022-04-17,-0.00021665433469091153
2022-04-24,-0.0006894407409992695
2022-05-01,0.00010116583593340343
2022-05-08,-0.00028648900099564553
2022-05-15,0.0008320311518905128
2022-05-22,0.001117554645624453
2022-05-29,0.002745102249597733
2022-06-05,0.0012223593789479586
2022-06-12,0.00040778910561836484
2022-06-19,0.0003884365661039063
2022-06-26,-0.0006525211119974214
2022-07-03,0.00020151183153733435
2022-07-10,0.0007310343234072978
2022-07-17,0.0003411406720839083
2022-07-24,0.0009611617543758972
2022-07-31,0.001112857343369945
2022-08-07,1.3453856688415306e-06
2022-08-14,0.00017941202796607569
2022-08-21,-0.0003619236237498921
2022-08-28,-0.00019404978410978864
2022-09-04,0.00014305188316906598
2022-09-11,-0.00019067935093629797
2022-09-18,-0.0005454923082420584
2022-09-25,0.0004602006030364275
2022-10-02,0.0005950217952378385
2022-10-09,-0.0004833563556674364
2022-10-16,0.0006369222335402702
2022-10-23,-0.00015837894592702704
2022-10-30,0.0012127102162687376
2022-11-06,0.0005410247126472892
2022-11-13,0.0008495346122598329
2022-11-20,0.0007548532203781707
2022-11-27,0.0009000492070229192
2022-12-04,0.0011077102031867602
2022-12-11,0.00015380833161099134
2022-12-18,0.00018766066332131026
2022-12-25,0.001015426792796289
2023-01-01,0.0014319210078707774
