Date,Gold_Prediction
2020-02-16,-0.0006335151936091388
2020-02-23,-0.0004254141951480613
2020-03-01,0.00048134794354275524
2020-03-08,0.0007170913193197706
2020-03-15,0.00018047237681548866
2020-03-22,0.0009504862375825689
2020-03-29,-0.000671129747152751
2020-04-05,-0.0007498607979773673
2020-04-12,0.00010224451419165794
2020-04-19,-0.0010757152258507824
2020-04-26,0.0001944905666296193
2020-05-03,0.00041774352600926196
2020-05-10,4.625471066716833e-06
2020-05-17,0.0003147399903766676
2020-05-24,-0.00012215903429698154
2020-05-31,7.619795340041163e-05
2020-06-07,-0.0012541014385446512
2020-06-14,-0.0014194579390548931
2020-06-21,-0.0012222137273587203
2020-06-28,-0.0016155851893209308
2020-07-05,-0.0020107211481793113
2020-07-12,-0.0019509191694663853
2020-07-19,-0.0023565069681328182
2020-07-26,-0.0012002528727804885
2020-08-02,-0.000513992248632083
2020-08-09,-0.0013988042012596875
2020-08-16,-0.0014551190896314081
2020-08-23,-0.0014218996584556961
2020-08-30,-0.0021582207966266546
2020-09-06,0.00025168514589533246
2020-09-13,-0.0002780327952344562
2020-09-20,-0.0006961593686035928
2020-09-27,-0.00042255906199457503
2020-10-04,-0.000838202087844495
2020-10-11,-0.0002052265325171887
2020-10-18,-0.0019484090883390586
2020-10-25,0.00038262331127842633
2020-11-01,-0.0007243667760642873
2020-11-08,0.0005532238824064909
2020-11-15,-0.00010027498801164644
2020-11-22,-0.0007427678504419132
2020-11-29,-0.0009565107890203091
2020-12-06,-0.00042728229813896097
2020-12-13,-0.0004987072614392291
2020-12-20,-0.00046525699757676045
2020-12-27,-0.0010127048196250552
2021-01-03,-7.831578028700492e-05
2021-01-10,-0.0002562664849526286
2021-01-17,-0.0021172711268728525
2021-01-24,-0.0017145876534646757
2021-01-31,-0.0022371233419523208
2021-02-07,-0.0022851551955259787
2021-02-14,-0.0020728943075353254
2021-02-21,0.0001510643643986431
2021-02-28,0.00046083780834714336
2021-03-07,0.00037951365974877015
2021-03-14,-0.00018810291109410416
2021-03-21,-0.0005569973594067269
2021-03-28,-0.001010018788622555
2021-04-04,-0.000927923374166063
2021-04-11,-0.0016588434908545596
2021-04-18,-0.001573461897991043
2021-04-25,-0.0020218854774193247
2021-05-02,-0.0009756450818406494
2021-05-09,-0.000877664322499761
2021-05-16,-0.0014096974727625846
2021-05-23,-0.001817737446079722
2021-05-30,0.00010052499388583553
2021-06-06,7.989185073521226e-05
2021-06-13,-2.37741294714905e-05
2021-06-20,-0.0006664182409649221
2021-06-27,0.00038562768103804685
2021-07-04,-0.0022751299240216494
2021-07-11,-0.001165203969839266
2021-07-18,-0.0017053265328915988
2021-07-25,-0.0009485115241497033
2021-08-01,-0.0014251518572844994
2021-08-08,-0.0007474392326137075
2021-08-15,-0.0005804488669618849
2021-08-22,-0.0008129898616754911
2021-08-29,-0.000762950077353742
2021-09-05,-0.0006757914855418663
2021-09-12,-7.523051973389981e-06
2021-09-19,-0.0004961439042328245
2021-09-26,-0.0003564956760772905
2021-10-03,-0.000739195451239144
2021-10-10,-0.0004003635415042053
2021-10-17,-0.0017684316067946597
2021-10-24,-0.0008765154221381021
2021-10-31,-0.0014229308480278309
2021-11-07,-0.001281974479593039
2021-11-14,-0.0018814778186089238
2021-11-21,-0.001752400111154498
2021-11-28,-0.0012988913344092188
2021-12-05,-0.0005212375889396433
2021-12-12,-0.0012978398098152267
2021-12-19,-0.0010617836775478745
2021-12-26,-0.001955277233835873
2022-01-02,-0.0023504325101246335
2022-01-09,-0.002172141279567259
2022-01-16,-0.0001801196773961372
2022-01-23,0.0004201031460683717
2022-01-30,-0.00030607792871233054
2022-02-06,-0.0011191167649880075
2022-02-13,-0.0022307753706724163
2022-02-20,-0.0022875929578982613
2022-02-27,-0.0011961569561076643
2022-03-06,-0.0012775674453417976
2022-03-13,-0.0009421423424996084
2022-03-20,-0.001118477890704594
2022-03-27,0.00016467893369348865
2022-04-03,-0.000780540329105153
2022-04-10,-0.0009432426655797008
2022-04-17,-0.0012906186258710762
2022-04-24,-0.00028861655379726955
2022-05-01,-0.0018453703731714055
2022-05-08,-0.0019299775512765227
2022-05-15,-0.0028448593371875695
2022-05-22,-0.0012141146974482234
2022-05-29,-0.0025903028166214775
2022-06-05,-0.0011759938967632192
2022-06-12,-0.0011513342561737517
2022-06-19,-0.0008880638688547169
2022-06-26,-0.0012094811125717756
2022-07-03,-0.0002065398703966883
2022-07-10,-0.0005495262921122174
2022-07-17,-0.0006872931477453175
2022-07-24,-0.00035558549776500484
2022-07-31,-0.0005664322691250946
2022-08-07,9.508983134237993e-05
2022-08-14,-0.0008963020722167054
2022-08-21,-0.00040278045959608205
2022-08-28,0.0007077906114280407
2022-09-04,1.983647447658165e-06
2022-09-11,0.0012535829817925893
2022-09-18,0.00048704297730879333
2022-09-25,-0.00097987298332002
2022-10-02,-0.0010142671351224487
2022-10-09,-0.0008210320033697512
2022-10-16,-0.0006310646541721825
2022-10-23,-0.00042305942950664975
2022-10-30,-0.0001573061955511573
2022-11-06,-0.0003687739383110985
2022-11-13,-0.00047157709702637103
2022-11-20,-0.0014716388161802678
2022-11-27,-0.0004827345406017923
2022-12-04,-0.00023021891018942394
2022-12-11,-0.00012272700802735316
2022-12-18,-0.0008128570207241757
2022-12-25,-0.001157139289061446
2023-01-01,-0.0008668940921963931
